Account address,Show boosts
tladeras@mastodon.cloud,true
jennybryan@mastodon.cloud,true
cboettig@mastodon.social,true
ddsjoberg@mastodon.social,true
cbahlai@mastodon.social,true
ledell@mastodon.social,true
emilyriederer@mastodon.social,true
grimalkina@mastodon.social,true
gmcd@mastodon.social,true
cogscimom@mastodon.social,true
juliasilge@mastodon.social,true
beltzdata@mastodon.social,true
cmastication@mastodon.social,true
jennybc@mastodon.social,true
allison_horst@mastodon.social,true
rmflight@mastodon.social,true
shinkansen@mastodon.social,true
dylanejohns@mastodon.social,true
edzer@mastodon.social,true
marshprincess@mastodon.social,true
jrosell@mastodon.social,true
nistara@fosstodon.org,true
jonthegeek@fosstodon.org,true
kkent@fosstodon.org,true
yabellini@fosstodon.org,true
nrennie@fosstodon.org,true
tanya_shapiro@fosstodon.org,true
tylermorganwall@fosstodon.org,true
smach@fosstodon.org,true
oscarbaruffa@fosstodon.org,true
dr_keithmcnulty@fosstodon.org,true
alastairrushworth@fosstodon.org,true
davidgranjon@fosstodon.org,true
pipinghotdata@fosstodon.org,true
grrrck@fosstodon.org,true
isabelizimm@fosstodon.org,true
thomas_mock@fosstodon.org,true
spcanelon@fosstodon.org,true
boshek@fosstodon.org,true
kbroman@fosstodon.org,true
ellakaye@fosstodon.org,true
apreshill@fosstodon.org,true
margaret_siple@fosstodon.org,true
jennybryan@fosstodon.org,true
mara@fosstodon.org,true
ajkoli@fosstodon.org,true
paniterka@fosstodon.org,true
pablotis@fosstodon.org,true
sbreitbart@fosstodon.org,true
ryderdavid@fosstodon.org,true
charliejhadley@tech.lgbt,true
debruine@tech.lgbt,true
mauritiantales@ecoevo.social,true
hugheslab@ecoevo.social,true
ostratodd@ecoevo.social,true
sortee@ecoevo.social,true
jebyrnes@ecoevo.social,true
sarah_edo@hachyderm.io,true
kstsosie@genomic.social,true
veerlevanson@mastodon.online,true
miriamgoldste@mastodon.online,true
beeonaposy@recsys.social,true
amelia@vis.social,true
cedscherer@vis.social,true
paniterka@vis.social,true
borgdn@vis.social,true
scholand@vis.social,true
timisneat@mstdn.social,true
dataandme@mstdn.social,true
ryderdavid@mstdn.social,true
vicki@jawns.club,true
sean@hci.social,true
chelseaparlett@nerdculture.de,true
bbolker@fediscience.org,true
jhelvy@fediscience.org,true
mariviere@fediscience.org,true
dieterlukas@fediscience.org,true
kbelisari0@fediscience.org,true
mcmullarkey@data-folks.masto.host,true
